STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/26/2019,7.83,",,W",0,",,W,2400",0,",,W,2400",0,",,W,2400",,,49,",,W",33,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/27/2019,4.03,",,W",0,",,W,2400",0,",,W,2400",0,",,W,2400",,,47,",,W",34,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/28/2019,1.57,",,W",0,"T,,W,2400",0,",,W,2400",0,",,W,2400",,,53,",,W",37,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/29/2019,2.01,",,W",0,"T,,W,2400",0,",,W,2400",0,",,W,2400",,,59,",,W",49,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/30/2019,3.36,",,W",0,",,W,2400",0,",,W,2400",0,",,W,2400",,,70,",,W",52,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/31/2019,5.82,",,W",0.06,",,W,2400",0,",,W,2400",0,",,W,2400",,,65,",,W",39,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/1/2019,7.16,",,W",0,",,W,2400",0,",,W,2400",0,",,W,2400",,,46,",,W",33,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/2/2019,4.47,",,W",0,"T,,W,2400",0,",,W,2400",0,",,W,2400",,,52,",,W",39,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/3/2019,7.38,",,W",0,",,W,2400",0,",,W,2400",0,",,W,2400",,,67,",,W",41,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/4/2019,6.71,",,W",0,",,W,2400",0,",,W,2400",0,",,W,2400",,,60,",,W",44,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/5/2019,5.82,",,W",0.2,",,W,2400",0,",,W,2400",0,",,W,2400",,,45,",,W",38,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/6/2019,3.36,",,W",0,",,W,2400",0,",,W,2400",0,",,W,2400",,,68,",,W",39,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/7/2019,1.57,",,W",0,",,W,2400",0,",,W,2400",0,",,W,2400",,,66,",,W",51,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/8/2019,3.58,",,W",0.26,",,W,2400",0,",,W,2400",0,",,W,2400",,,79,",,W",49,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/9/2019,2.91,",,W",0.03,",,W,2400",0,",,W,2400",0,",,W,2400",,,51,",,W",46,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/10/2019,6.49,",,W",0,",,W,2400",0,",,W,2400",0,",,W,2400",,,60,",,W",45,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/11/2019,3.13,",,W",0,",,W,2400",0,",,W,2400",0,",,W,2400",,,55,",,W",40,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/12/2019,3.8,",,W",0.63,",,W,2400",0,",,W,2400",0,",,W,2400",,,68,",,W",46,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/13/2019,2.91,",,W",0.24,",,W,2400",0,",,W,2400",0,",,W,2400",,,77,",,W",59,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/14/2019,1.57,",,W",0.01,",,W,2400",0,",,W,2400",0,",,W,2400",,,73,",,W",60,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/15/2019,8.5,",,W",0.96,",,W,2400",0,",,W,2400",0,",,W,2400",,,65,",,W",46,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/16/2019,9.4,",,W",0,"T,,W,2400",0,",,W,2400",0,",,W,2400",,,66,",,W",44,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/17/2019,3.13,",,W",0.01,",,W,2400",0,",,W,2400",0,",,W,2400",,,63,",,W",48,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/18/2019,3.58,",,W",0,"T,,W,2400",0,",,W,2400",0,",,W,2400",,,62,",,W",51,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/19/2019,3.36,",,W",0.01,",,W,2400",0,",,W,2400",0,",,W,2400",,,80,",,W",58,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/20/2019,3.8,",,W",0.7,",,W,2400",0,",,W,2400",0,",,W,2400",,,64,",,W",55,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/21/2019,3.36,",,W",0,",,W,2400",0,",,W,2400",0,",,W,2400",,,66,",,W",53,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/22/2019,4.47,",,W",0.24,",,W,2400",0,",,W,2400",0,",,W,2400",,,64,",,W",52,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/23/2019,2.01,",,W",0.08,",,W,2400",0,",,W,2400",0,",,W,2400",,,77,",,W",56,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/24/2019,5.82,",,W",0,"T,,W,2400",0,",,W,2400",0,",,W,2400",,,69,",,W",55,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/25/2019,3.36,",,W",0.02,",,W,2400",0,",,W,2400",0,",,W,2400",,,66,",,W",48,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/26/2019,4.92,",,W",1.03,",,W,2400",0,",,W,2400",0,",,W,2400",,,59,",,W",51,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/27/2019,6.93,",,W",0.07,",,W,2400",0,",,W,2400",0,",,W,2400",,,58,",,W",47,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/28/2019,3.8,",,W",0.01,",,W,2400",0,",,W,2400",0,",,W,2400",,,53,",,W",45,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/29/2019,2.68,",,W",0.01,",,W,2400",0,",,W,2400",0,",,W,2400",,,60,",,W",41,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/30/2019,2.01,",,W",0.04,",,W,2400",0,",,W,2400",0,",,W,2400",,,60,",,W",48,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/1/2019,2.46,",,W",0,",,W,2400",0,",,W,2400",0,",,W,2400",,,56,",,W",50,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/2/2019,2.68,",,W",0.01,",,W,2400",0,",,W,2400",0,",,W,2400",,,78,",,W",50,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/3/2019,2.46,",,W",0.06,",,W,2400",0,",,W,2400",0,",,W,2400",,,56,",,W",50,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/4/2019,1.12,",,W",0.11,",,W,2400",0,",,W,2400",0,",,W,2400",,,71,",,W",53,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/5/2019,7.16,",,W",1.31,",,W,2400",0,",,W,2400",0,",,W,2400",,,58,",,W",51,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/6/2019,4.03,",,W",0,",,W,2400",0,",,W,2400",0,",,W,2400",,,74,",,W",51,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/7/2019,1.34,",,W",0.11,",,W,2400",0,",,W,2400",0,",,W,2400",,,70,",,W",52,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/8/2019,4.47,",,W",0,",,W,2400",0,",,W,2400",0,",,W,2400",,,71,",,W",55,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/9/2019,5.59,",,W",0,",,W,2400",0,",,W,2400",0,",,W,2400",,,61,",,W",53,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/10/2019,1.57,",,W",0.04,",,W,2400",0,",,W,2400",0,",,W,2400",,,73,",,W",56,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/11/2019,3.13,",,W",0.04,",,W,2400",0,",,W,2400",0,",,W,2400",,,69,",,W",56,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/12/2019,8.5,",,W",1.32,",,W,2400",0,",,W,2400",0,",,W,2400",,,59,",,W",43,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/13/2019,5.59,",,W",0.7,",,W,2400",0,",,W,2400",0,",,W,2400",,,48,",,W",42,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/14/2019,2.24,",,W",0.3,",,W,2400",0,",,W,2400",0,",,W,2400",,,52,",,W",44,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/15/2019,3.8,",,W",0.01,",,W,2400",0,",,W,2400",0,",,W,2400",,,69,",,W",44,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/16/2019,2.68,",,W",0.12,",,W,2400",0,",,W,2400",0,",,W,2400",,,73,",,W",52,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/17/2019,4.92,",,W",0.03,",,W,2400",0,",,W,2400",0,",,W,2400",,,76,",,W",60,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/18/2019,2.68,",,W",0,",,W,2400",0,",,W,2400",0,",,W,2400",,,75,",,W",56,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/19/2019,2.91,",,W",0.06,",,W,2400",0,",,W,2400",0,",,W,2400",,,76,",,W",60,",,W"
